size,backend,workers,repeat,position,process_wall_seconds,validation_wall_seconds,verified_graphs,sum_base_seconds,sum_diagnostic_seconds,peak_process_bytes,conservative_process_memory_bytes
90,numba,1,0,0,16.301926000000094,15.910614899999928,90,8.619208999993134,7.21017200001188,117600256,235200512
90,numba,2,0,1,9.70830980000028,9.404878400000598,90,9.956396100005804,7.677930599995307,116482048,349446144
90,numba,4,0,2,6.300620699999854,6.013453499999741,90,13.014632700003858,8.689794900003108,115896320,579481600
90,python,4,0,3,21.678735700001198,21.393882600001234,90,9.071969499989791,74.28660830000626,30216192,151080960
90,numba,2,1,0,9.540911000000051,9.214130300000761,90,9.751972300004127,7.607721099991977,116183040,348549120
90,numba,4,1,1,6.188364699999511,5.909787099999448,90,12.90268350000224,8.549862400001075,116084736,580423680
90,python,4,1,2,22.0979071999991,21.79971569999907,90,9.367206299995814,75.69699150001543,30257152,151285760
90,numba,1,1,3,15.839232999998785,15.490555100001075,90,8.407639600000039,6.997362100006285,117452800,234905600
90,numba,4,2,0,6.185679500000333,5.91414210000039,90,12.701740600004996,8.62231569999858,116088832,580444160
90,python,4,2,1,21.964675799999895,21.684054800000013,90,9.228690600000846,75.42873100000361,30208000,151040000
90,numba,1,2,2,15.918410199999926,15.558130400000664,90,8.372274600013043,7.095663099999001,116977664,233955328
90,numba,2,2,3,9.593591799999558,9.298632899999575,90,9.81208990000232,7.725699699998586,116056064,348168192
360,numba,1,0,0,55.77030259999992,55.38778280000042,360,32.03648430000612,23.04438709999522,118157312,236314624
360,numba,2,0,1,30.53638359999968,30.23357130000113,360,34.66484819998368,24.184942299991235,116457472,349372416
360,numba,4,0,2,17.974712200000795,17.706981400000586,360,40.572528800004875,27.01788939999642,116043776,580218880
360,python,4,0,3,70.99385809999876,70.7216370999995,360,37.75927209999463,242.68616889998702,30326784,151633920
360,numba,2,1,0,30.063546100000167,29.795210000000225,360,34.084049799999775,23.888866999996026,116248576,348745728
360,numba,4,1,1,17.754648500000258,17.48809000000074,360,39.93813389998468,26.68777840000257,116060160,580300800
360,python,4,1,2,68.45838849999927,68.18372559999989,360,36.6869154999913,233.53003800000806,30081024,150405120
360,numba,1,1,3,52.963870399998996,52.58612170000015,360,30.522913300015716,21.759640399981436,118165504,236331008
360,numba,4,2,0,17.977029499999844,17.692009000000326,360,40.47377790000064,27.285737500000323,116273152,581365760
360,python,4,2,1,69.40326169999935,69.13279500000135,360,36.526001299982454,237.43048589997306,30216192,151080960
360,numba,1,2,2,53.42551900000035,53.06430130000081,360,30.815153000012288,21.952730600016366,118255616,236511232
360,numba,2,2,3,29.903274799999053,29.61981729999934,360,34.040549499977715,23.72679270002118,116170752,348512256
1800,numba,1,0,0,172.13499039999988,171.72641210000074,1800,148.67347260001952,21.884438500013857,120156160,240312320
1800,numba,2,0,1,95.69839239999965,95.3801696999999,1800,163.5847333999991,23.511804400017354,116076544,348229632
1800,numba,4,0,2,55.16205719999925,54.86787599999843,1800,186.56059249997634,26.996757800010528,116428800,582144000
1800,python,4,0,3,106.74660119999862,106.44323340000119,1800,183.82191390002845,236.41722249994564,30302208,151511040
1800,numba,2,1,0,95.694531000001,95.39356340000086,1800,163.62238460002845,23.491748199961876,116224000,348672000
1800,numba,4,1,1,55.39810810000017,55.10363199999847,1800,187.56582160001926,27.0283707000126,116703232,583516160
1800,python,4,1,2,106.39785579999989,106.09831350000059,1800,184.6356586999991,234.41605779997917,30285824,151429120
1800,numba,1,1,3,175.09176300000036,174.73130090000086,1800,151.60297620004167,21.98731100000259,120250368,240500736
1800,numba,4,2,0,55.11398999999983,54.82390899999882,1800,186.5994498999553,26.73155810006574,116355072,581775360
1800,python,4,2,1,107.02283259999967,106.72809140000027,1800,184.15134949997628,237.32621140002084,30560256,152801280
1800,numba,1,2,2,175.83915969999907,175.4772735000006,1800,152.76774970006045,21.584046199952354,120369152,240738304
1800,numba,2,2,3,96.11160949999976,95.82185489999938,1800,164.21292870011894,23.930907599929924,116260864,348782592
