config_hash,case_id,repetition,instance_id,seed,coupling_pair_id,coupling_seed,family,generator_version,research_question_id,instance_origin,is_adversarial,universe_size,set_count,k,parameters,incidence_count,covered_element_count,unique_set_count,actual_density,mean_set_size,pairwise_overlap_mean_jaccard,pairwise_overlap_total_pairs,pairwise_overlap_valid_pairs,coverage_skew_gini,duplicate_set_count,duplicate_set_ratio,dominated_set_count,dominated_set_ratio,dominated_unique_ratio,preprocessed_set_count,adversarial_severity,realized_trap_fraction,known_optimum,optimum_source,optimum_selected,proof_kind,schema_version
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,0,2b4520d458488ec66766ac9b722e3b2d71cb6f89f009f113744721e3b2f801d4,14525675900305775728,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",331,39,16,0.43098958333333331,20.6875,0.64021937627266223,120,120,0.50504596001799829,0,0,2,0.125,0.125,14,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,1,5a083483fb6d8a80f771f144536e2c7293ef8b6c82b8b12dd496e81f564d21d5,14525675900305775729,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",316,37,16,0.41145833333333331,19.75,0.61587962399918927,120,120,0.52154591974144893,0,0,0,0,0,16,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,2,5dfb390cca28b3c11c0f660d6518edc0eea7a05a1df2e4f764e4c9d750182c78,14525675900305775730,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",315,34,16,0.41015625,19.6875,0.62461313116104467,120,120,0.52489023978385685,0,0,3,0.1875,0.1875,13,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,3,84ed4a7064a2eeb758bddc7bcada53716dcf08f6b23128bc2daf0eb3b30ec8c9,14525675900305775731,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",318,37,16,0.4140625,19.875,0.56670688525848445,120,120,0.492974708952228,0,0,1,0.0625,0.0625,15,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,4,c478d2797f197f59c3c6fa1d42c00e6796454ef811e8a39c8a99443b78394902,14525675900305775732,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",327,39,16,0.42578125,20.4375,0.62215926779182651,120,120,0.50640900514021736,0,0,2,0.125,0.125,14,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,5,909b8e89849dc021d29ae99bc2f0427ecd491a33ce7222c72a30b01c42133745,14525675900305775733,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",335,39,16,0.43619791666666669,20.9375,0.63743289544963699,120,120,0.49749126706891078,0,0,1,0.0625,0.0625,15,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,6,65977869c926ed911bb8e0027bffdf58d22b75729200848d5214a935fbc17552,14525675900305775734,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",325,37,16,0.42317708333333331,20.3125,0.61975157638694622,120,120,0.50821603927986903,0,0,0,0,0,16,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,7,4ee4c3df7a05cc31e0ff2fa21770204b186b8beba2efb67806f27df397229092,14525675900305775735,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",339,39,16,0.44140625,21.1875,0.64744553411263805,120,120,0.49526140714240885,0,0,5,0.3125,0.3125,11,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,8,17ddb8112ac89106e9a1fb626c2102d5f6af3e594d0bbfc7c758103b7e10beef,14525675900305775736,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",334,39,16,0.43489583333333331,20.875,0.59786766664952573,120,120,0.48324627341062554,0,0,1,0.0625,0.0625,15,,,,,,,2
9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,9,356028b47476902a7f2ae4e6e3ea900b7d1d1ed34c2af618743661ea1849b891,14525675900305775737,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",330,36,16,0.4296875,20.625,0.63727995411865968,120,120,0.51089619600257896,0,0,0,0,0,16,,,,,,,2
